tag,size,cycles
GE_Solve_Base,125,6.26264e+06
GE_Solve_Loop_Unroll,125,5.901e+06
GE_Solve_Naive_Vector,125,3.53085e+06
LU_Solve_Basic_C_Opts,125,7.01793e+06
LU_Solve_Transposed,125,5.89518e+06
LU_Solve_Transposed_Vector,125,7.70172e+06
GE_Solve_Base,216,3.49057e+07
GE_Solve_Loop_Unroll,216,2.94252e+07
GE_Solve_Naive_Vector,216,2.03576e+07
LU_Solve_Basic_C_Opts,216,3.86423e+07
LU_Solve_Transposed,216,2.69244e+07
LU_Solve_Transposed_Vector,216,2.49636e+07
GE_Solve_Base,343,1.22374e+08
GE_Solve_Loop_Unroll,343,1.03728e+08
GE_Solve_Naive_Vector,343,6.90342e+07
LU_Solve_Basic_C_Opts,343,1.47916e+08
LU_Solve_Transposed,343,9.06248e+07
LU_Solve_Transposed_Vector,343,1.01488e+08
GE_Solve_Base,512,4.17191e+08
GE_Solve_Loop_Unroll,512,3.31069e+08
GE_Solve_Naive_Vector,512,2.43853e+08
LU_Solve_Basic_C_Opts,512,4.63878e+08
LU_Solve_Transposed,512,2.77728e+08
LU_Solve_Transposed_Vector,512,2.68249e+08
GE_Solve_Base,729,1.1187e+09
GE_Solve_Loop_Unroll,729,9.02924e+08
GE_Solve_Naive_Vector,729,6.01415e+08
LU_Solve_Basic_C_Opts,729,1.30904e+09
LU_Solve_Transposed,729,7.29027e+08
LU_Solve_Transposed_Vector,729,7.3312e+08
